company,title,type,city,location,posted,raw_url,careerkit_apply_url
"Drees & Sommer SE","Junior Projektmanager (w/m/d) Hochbau","Junior","Aachen","Aachen, NRW, Germany","2026-08-20T14:24:30.637Z","https://jobs.smartrecruiters.com/DreesSommerSE/744000144569830","https://careerkit.me/api/apply?src=github-dach&company=drees-sommer-se&url=https%3A%2F%2Fjobs.smartrecruiters.com%2FDreesSommerSE%2F744000144569830"
"Drees & Sommer SE","Junior Ingenieur / Techniker (w/m/d) Objektüberwachung Elektrotechnik","Junior","Aachen","Aachen, NRW, Germany","2026-08-20T13:41:31.983Z","https://jobs.smartrecruiters.com/DreesSommerSE/744000144560729","https://careerkit.me/api/apply?src=github-dach&company=drees-sommer-se&url=https%3A%2F%2Fjobs.smartrecruiters.com%2FDreesSommerSE%2F744000144560729"
"Drees & Sommer SE","Junior Bauingenieur / Architekt (w/m/d) Objektüberwachung","Junior","Aachen","Aachen, NRW, Germany","2026-06-16T08:15:47.858Z","https://jobs.smartrecruiters.com/DreesSommerSE/744000132354514","https://careerkit.me/api/apply?src=github-dach&company=drees-sommer-se&url=https%3A%2F%2Fjobs.smartrecruiters.com%2FDreesSommerSE%2F744000132354514"
"Eurofins","Quereinsteiger (m/w/d) Probenahme","Junior","Aachen","Aachen, NRW, Germany","2026-09-25T07:06:41.989Z","https://jobs.smartrecruiters.com/eurofins/744000151772889","https://careerkit.me/api/apply?src=github-dach&company=eurofins&url=https%3A%2F%2Fjobs.smartrecruiters.com%2Feurofins%2F744000151772889"
"1KOMMA5°","Quereinsteiger / Baustellenhelfer / Elektrohelfer (m/w/d) - Photovoltaik, Wärmepumpen & Energiesysteme (m/w/d) - 1KOMMA5° Augsburg","Junior","Augsburg","Augsburg","2026-01-28T15:04:08+00:00","https://1komma5grad.jobs.personio.de/job/2510926","https://careerkit.me/api/apply?src=github-dach&company=1komma5&url=https%3A%2F%2F1komma5grad.jobs.personio.de%2Fjob%2F2510926"
"1KOMMA5°","Quereinsteiger / Baustellenhelfer SHK (m/w/d) Wärmepumpen & Heiztechnik (m/w/d) - 1KOMMA5° Augsburg","Junior","Augsburg","Augsburg","2026-01-23T12:13:30+00:00","https://1komma5grad.jobs.personio.de/job/2503817","https://careerkit.me/api/apply?src=github-dach&company=1komma5&url=https%3A%2F%2F1komma5grad.jobs.personio.de%2Fjob%2F2503817"
"Bosch Group","Werkstudent im Bereich Vertrieb und Technik (w/m/div.)","Werkstudent","Augsburg","Augsburg, BY, Germany","2026-07-17T12:05:22.103Z","https://jobs.smartrecruiters.com/BoschGroup/744000138314349","https://careerkit.me/api/apply?src=github-dach&company=bosch-group&url=https%3A%2F%2Fjobs.smartrecruiters.com%2FBoschGroup%2F744000138314349"
"SIXT","Studentische Teilzeitkraft Autovermietung (m/w/d)","Werkstudent","Augsburg","Augsburg, BY, Germany","2026-06-05T09:35:38.528Z","https://jobs.smartrecruiters.com/sixt/744000130405365","https://careerkit.me/api/apply?src=github-dach&company=sixt&url=https%3A%2F%2Fjobs.smartrecruiters.com%2Fsixt%2F744000130405365"
"SIXT","Werkstudent Autovermietung (m/w/d)","Werkstudent","Augsburg","Augsburg, BY, Germany","2026-06-05T09:35:12.970Z","https://jobs.smartrecruiters.com/sixt/744000130406159","https://careerkit.me/api/apply?src=github-dach&company=sixt&url=https%3A%2F%2Fjobs.smartrecruiters.com%2Fsixt%2F744000130406159"
"3ds","Trainee (m/f/d) - Strategy & Market Expansion","Junior","Basel","Basel, Basel-Stadt","2026-07-30T23:34:39Z","https://www.adzuna.ch/details/5821477947?utm_medium=api&utm_source=8efdd1b9","https://careerkit.me/api/apply?src=github-dach&company=3ds&url=https%3A%2F%2Fwww.adzuna.ch%2Fdetails%2F5821477947%3Futm_medium%3Dapi%26utm_source%3D8efdd1b9"
"Bank Cler AG","Trainee-Programm Im Banking – Fokus: Unternehmensentwicklung (w/m) 80-100%","Junior","Basel","Basel, Basel-Stadt","2026-09-18T00:30:48Z","https://www.adzuna.ch/details/5888262186?utm_medium=api&utm_source=8efdd1b9","https://careerkit.me/api/apply?src=github-dach&company=bank-cler-ag&url=https%3A%2F%2Fwww.adzuna.ch%2Fdetails%2F5888262186%3Futm_medium%3Dapi%26utm_source%3D8efdd1b9"
"Basler Kantonalbank","Trainee-Programm im Banking - Fokus: Unternehmensentwicklung (w/m)","Junior","Basel","Basel, Basel-Stadt","2026-09-20T00:31:54Z","https://www.adzuna.ch/details/5891029831?utm_medium=api&utm_source=8efdd1b9","https://careerkit.me/api/apply?src=github-dach&company=basler-kantonalbank&url=https%3A%2F%2Fwww.adzuna.ch%2Fdetails%2F5891029831%3Futm_medium%3Dapi%26utm_source%3D8efdd1b9"
"JYSK","Verkaufsleiter/in Trainee 100% für die Region Basel","Junior","Basel","Basel, Basel-Stadt","2026-08-21T23:55:53Z","https://www.adzuna.ch/details/5851467238?utm_medium=api&utm_source=8efdd1b9","https://careerkit.me/api/apply?src=github-dach&company=jysk&url=https%3A%2F%2Fwww.adzuna.ch%2Fdetails%2F5851467238%3Futm_medium%3Dapi%26utm_source%3D8efdd1b9"
"Memox Deutschland GmbH","Trainee Eventmanagement & Sales (m/w/d)","Junior","Basel","Basel, Basel-Stadt","2026-08-13T01:25:04Z","https://www.adzuna.ch/details/5839011641?utm_medium=api&utm_source=8efdd1b9","https://careerkit.me/api/apply?src=github-dach&company=memox-deutschland-gmbh&url=https%3A%2F%2Fwww.adzuna.ch%2Fdetails%2F5839011641%3Futm_medium%3Dapi%26utm_source%3D8efdd1b9"
"Batterman Consulting Basel AG","Internship Recruiting & Digital Marketing 6-12 Monate","Praktikum","Basel","Basel, Basel-Stadt","2026-09-03T12:19:52Z","https://www.adzuna.ch/land/ad/5868666972?se=QltwLse48RGqSP-Ku-S77g&utm_medium=api&utm_source=8efdd1b9&v=0C398C6EA2EE967A6421743B68732357BB5395C3","https://careerkit.me/api/apply?src=github-dach&company=batterman-consulting-basel-ag&url=https%3A%2F%2Fwww.adzuna.ch%2Fland%2Fad%2F5868666972%3Fse%3DQltwLse48RGqSP-Ku-S77g%26utm_medium%3Dapi%26utm_source%3D8efdd1b9%26v%3D0C398C6EA2EE967A6421743B68732357BB5395C3"
"BSS Volkswirtschaftliche Beratung AG","Praktikum Plus - Projektarbeit Plus Masterarbeit","Praktikum","Basel","Basel, Basel-Stadt","2026-09-03T00:51:44Z","https://www.adzuna.ch/details/5867672491?utm_medium=api&utm_source=8efdd1b9","https://careerkit.me/api/apply?src=github-dach&company=bss-volkswirtschaftliche-beratung-ag&url=https%3A%2F%2Fwww.adzuna.ch%2Fdetails%2F5867672491%3Futm_medium%3Dapi%26utm_source%3D8efdd1b9"
"BSS Volkswirtschaftliche Beratung AG","Praktikantin Oder Praktikanten Für Die Politikberatung","Praktikum","Basel","Basel, Basel-Stadt","2026-09-03T00:51:44Z","https://www.adzuna.ch/details/5867672525?utm_medium=api&utm_source=8efdd1b9","https://careerkit.me/api/apply?src=github-dach&company=bss-volkswirtschaftliche-beratung-ag&url=https%3A%2F%2Fwww.adzuna.ch%2Fdetails%2F5867672525%3Futm_medium%3Dapi%26utm_source%3D8efdd1b9"
"Burckhardt Architektur AG","Praktikum Architektur (m/w/d)","Praktikum","Basel","Basel, Basel-Stadt","2024-09-07T13:13:47Z","https://www.adzuna.ch/details/4855781170?utm_medium=api&utm_source=8efdd1b9","https://careerkit.me/api/apply?src=github-dach&company=burckhardt-architektur-ag&url=https%3A%2F%2Fwww.adzuna.ch%2Fdetails%2F4855781170%3Futm_medium%3Dapi%26utm_source%3D8efdd1b9"
